title
Top	Bottom	length	deuterium
310.08	311.25	1.17	-270.38
311.25	312.4	1.15	-269.52
312.4	313.52	1.12	-264.85
313.52	314.63	1.11	-268.94
314.63	315.92	1.29	-263.79
315.92	317.1	1.18	-262.08
317.1	318.33	1.23	-267.78
318.33	319.46	1.13	-269.4
319.46	320.55	1.09	-267.07
320.55	321.68	1.13	-270.94
321.68	322.76	1.08	-275.27
322.76	323.8	1.04	-267.6
323.8	324.88	1.08	-264.89
324.88	325.78	0.9	-273.86
325.78	326.97	1.19	-267.74
326.97	328.09	1.12	-272.07
328.09	329.18	1.09	-275.87
329.18	330.5	1.32	-269.1
330.5	331.65	1.15	-264.85
331.65	332.92	1.27	-264.37
332.92	333.98	1.06	-268.52
333.98	335.15	1.17	-268.78
335.15	336.22	1.07	-266.59
336.22	337.43	1.21	-268.16
337.43	338.48	1.05	-262.13
338.48	339.47	0.99	-280.02
339.47	340.76	1.29	-271.89
340.76	341.78	1.02	-272.36
341.78	342.9	1.12	-268.48
342.9	344.06	1.16	-270.56
344.06	344.8	0.74	-263.32
344.8	345.78	0.98	-270.57
345.78	346.78	1	999999
346.78	347.78	1	999999
347.78	348.78	1	999999
348.78	349.78	1	999999
349.78	350.78	1	999999
350.78	351.78	1	999999
351.78	352.78	1	999999
352.78	353.78	1	999999
353.78	354.78	1	999999
354.78	355.78	1	999999
355.78	356.78	1	999999
356.78	357.78	1	999999
357.78	358.78	1	999999
358.78	359.87	1.09	-281.7
359.87	360.9	1.03	-266.11
360.9	362.08	1.18	-268.75
362.08	362.9	0.82	-271.53
362.9	363.96	1.06	-271.36
363.96	365.13	1.17	-261.79
365.13	366.01	0.88	-265.96
366.01	366.93	0.92	-267.02
366.93	367.88	0.95	-270.57
367.88	368.8	0.92	-272.57
368.8	369.85	1.05	-267.98
369.85	370.95	1.1	-267.37
370.95	371.87	0.92	-273.53
371.87	373.01	1.14	-260.06
373.01	374.22	1.21	-270.16
374.22	375.33	1.11	-281.07
375.33	376.43	1.1	-265.65
376.43	377.42	0.99	-257.55
377.42	378.51	1.09	-265.87
378.51	379.6	1.09	-270.36
379.6	380.62	1.02	-270.12
380.62	381.62	1	-274.49
381.62	382.65	1.03	-267.33
382.65	383.76	1.11	-260.63
383.76	384.72	0.96	-269.48
384.72	385.79	1.07	-256.49
385.79	386.74	0.95	-261.4
386.74	387.82	1.08	-262.83
387.82	388.82	1	-271.31
388.82	389.82	1	999999
389.82	390.82	1	999999
390.82	391.82	1	999999
391.82	392.98	1.16	-275.77
392.98	394.03	1.05	-255.95
394.03	395.08	1.05	999999
395.08	396.13	1.05	999999
396.13	397.13	1	999999
397.13	398.28	1.15	-270.9
398.28	399.1	0.82	-272.53
399.1	400.1	1	-267.28
400.1	401.18	1.08	-266.84
401.18	401.98	0.8	-268.95
401.98	403.19	1.21	-264.11
403.19	404.26	1.07	-271.53
404.26	405.32	1.06	-272.87
405.32	406.21	0.89	-262.58
406.21	407.28	1.07	-265.94
407.28	408.22	0.94	-265.17
408.22	409.17	0.95	-268.01
409.17	410.11	0.94	-263.39
410.11	411.04	0.93	-270.59
411.04	412.06	1.02	-262.63
412.06	413.1	1.04	-262.57
413.1	414.15	1.05	-264.88
414.15	415.2	1.05	-261.64
415.2	416.27	1.07	-255.79
416.27	417.12	0.85	-264.38
417.12	418.14	1.02	-262.94
418.14	419.07	0.93	-269.59
419.07	420.05	0.98	-272.49
420.05	421.11	1.06	-268.36
421.11	422.07	0.96	-261.7
422.07	423.08	1.01	-266.16
423.08	424.09	1.01	-275.55
424.09	425.17	1.08	-269.39
425.17	425.99	0.82	-269.85
425.99	426.86	0.87	-268.84
426.86	427.93	1.07	-266.6
427.93	429.05	1.12	-273.69
429.05	430	0.95	-260.96
430	430.89	0.89	-268.6
430.89	431.84	0.95	-266.38
431.84	432.73	0.89	-275.8
432.73	433.62	0.89	-265.75
433.62	434.36	0.74	-269.25
434.36	435.16	0.8	-271.53
435.16	436.28	1.12	-279.37
436.28	437.36	1.08	-272.62
437.36	438.39	1.03	-264.28
438.39	439.42	1.03	-276.75
439.42	440.32	0.9	-269.23
440.32	441.39	1.07	-265.33
441.39	442.47	1.08	-267.41
442.47	443.48	1.01	-264.28
443.48	444.63	1.15	-274.91
444.63	445.61	0.98	-264.9
445.61	446.53	0.92	-262.33
446.53	447.62	1.09	-264.96
447.62	448.54	0.92	-265.68
448.54	449.57	1.03	-266.48
449.57	450.62	1.05	-275.44
450.62	451.57	0.95	-270
451.57	452.39	0.82	-264.75
452.39	453.58	1.19	-268.21
453.58	454.59	1.01	-266.44
454.59	455.57	0.98	-264.93
455.57	456.7	1.13	-266.48
456.7	457.97	1.27	-258.97
457.97	458.92	0.95	-267.43
458.92	459.93	1.01	-267.55
459.93	461.02	1.09	-273.08
461.02	462.18	1.16	-273.11
462.18	463.37	1.19	-264.99
463.37	464.23	0.86	-261.47
464.23	465.3	1.07	-271.72
465.3	466.38	1.08	-268.88
466.38	467.4	1.02	-265.95
467.4	468.45	1.05	-263.54
468.45	469.32	0.87	-270.77
469.32	470.5	1.18	-261.49
470.5	471.51	1.01	-266.73
471.51	472.57	1.06	-258.81
472.57	473.56	0.99	-263.21
473.56	474.62	1.06	-262.31
474.62	475.65	1.03	-258.49
475.65	476.65	1	-259.65
476.65	477.65	1	999999
477.65	478.75	1.1	-260.72
478.75	479.87	1.12	-260.46
479.87	480.68	0.81	-267.14
480.68	481.67	0.99	-272.24
481.67	482.62	0.95	-268.1
482.62	483.42	0.8	-264.17
483.42	484.43	1.01	-261.25
484.43	485.2	0.77	-263.44
485.2	486.18	0.98	-268.11
486.18	487.19	1.01	-265.94
487.19	488.29	1.1	-267.29
488.29	489.32	1.03	-264.39
489.32	490.04	0.72	-258.8
490.04	491.1	1.06	-263.9
491.1	492.16	1.06	-264.61
492.16	493.24	1.08	-251.24
493.24	494.23	0.99	-262.93
494.23	495.26	1.03	-260.71
495.26	496.27	1.01	999999
496.27	497.23	0.96	-267.49
497.23	498.22	0.99	-259.88
498.22	499.06	0.84	-258.36
499.06	500.12	1.06	-265.74
500.12	501.11	0.99	-263.54
501.11	502.16	1.05	-253.68
502.16	503.05	0.89	-258.97
503.05	504.03	0.98	-266.41
504.03	504.8	0.77	-268.59
504.8	505.72	0.92	-263.11
505.72	506.65	0.93	-268.99
506.65	507.54	0.89	-266.07
507.54	508.55	1.01	-265.31
508.55	509.51	0.96	-267.84
509.51	510.56	1.05	-267.78
510.56	511.49	0.93	-264.36
511.49	512.5	1.01	-267.74
512.5	513.5	1	-263.78
513.5	514.42	0.92	-265.31
514.42	515.39	0.97	-262.37
515.39	516.36	0.97	-262.89
516.36	517.35	0.99	-261.2
517.35	518.35	1	-266.68
518.35	519.44	1.09	-259.35
519.44	520.45	1.01	-267.84
520.45	521.36	0.91	-269.76
521.36	522.36	1	-259.84
522.36	523.4	1.04	-263.62
523.4	524.39	0.99	-258.07
524.39	525.38	0.99	-261.27
525.38	526.37	0.99	-266.12
526.37	527.28	0.91	-270.78
527.28	528.38	1.1	-261.28
528.38	529.44	1.06	-264.24
529.44	530.37	0.93	-260.51
530.37	531.31	0.94	-269.06
531.31	532.24	0.93	-268.34
532.24	533.22	0.98	-269.7
533.22	534.21	0.99	-268.05
534.21	535.25	1.04	-269.87
535.25	536.2	0.95	-262.66
536.2	537.28	1.08	-269.15
537.28	538.21	0.93	-259.29
538.21	539.19	0.98	-262.5
539.19	540.17	0.98	-259.12
540.17	541.08	0.91	-263.7
541.08	542.07	0.99	-255.04
542.07	543.03	0.96	-266.6
543.03	544.03	1	-272.71
544.03	545.04	1.01	-265.23
545.04	546.07	1.03	-267.44
546.07	547.02	0.95	999999
547.02	547.97	0.95	999999
547.97	548.94	0.97	-265.71
548.94	549.81	0.87	-272.14
549.81	550.72	0.91	-261.73
550.72	551.7	0.98	-262.55
551.7	552.65	0.95	999999
552.65	553.72	1.07	-257.64
553.72	554.67	0.95	-261.35
554.67	555.71	1.04	-263.67
555.71	556.67	0.96	-264.54
556.67	557.69	1.02	-269.59
557.69	558.64	0.95	999999
558.64	559.58	0.94	999999
559.58	560.59	1.01	-264.54
560.59	561.47	0.88	-268.91
561.47	562.49	1.02	-267.55
562.49	563.43	0.94	-268.01
563.43	564.4	0.97	-265.63
564.4	565.3	0.9	-260.26
565.3	566.23	0.93	-269.59
566.23	567.12	0.89	-266.86
567.12	568.1	0.98	-275.45
568.1	569	0.9	-275.16
569	569.87	0.87	-274.54
569.87	570.84	0.97	-271.36
570.84	571.83	0.99	-257.98
571.83	572.69	0.86	-261.06
572.69	573.88	1.19	-265.08
573.88	574.72	0.84	-270.23
574.72	575.77	1.05	-264.11
575.77	576.63	0.86	-252.15
576.63	577.34	0.71	-267.53
577.34	578.26	0.92	-275.79
578.26	579.21	0.95	-279.14
579.21	580.21	1	-260.34
580.21	581.11	0.9	-265.39
581.11	582	0.89	-258.25
582	582.92	0.92	-271.26
582.92	583.89	0.97	-276.76
583.89	584.71	0.82	-264.72
584.71	585.55	0.84	-271.09
585.55	586.49	0.94	-263.65
586.49	587.47	0.98	-261.45
587.47	588.3	0.83	-268.81
588.3	589.27	0.97	-264.72
589.27	590.2	0.93	-261.56
590.2	591.06	0.86	-265.85
591.06	591.92	0.86	-262.98
591.92	592.83	0.91	-262.49
592.83	593.84	1.01	-274.41
593.84	594.76	0.92	-267.61
594.76	595.66	0.9	-257.92
595.66	596.67	1.01	-260.72
596.67	597.62	0.95	-267.65
597.62	598.66	1.04	-278.52
598.66	599.56	0.9	-268.65
599.56	600.49	0.93	-260
600.49	601.45	0.96	-271.64
601.45	602.45	1	-272.44
602.45	603.41	0.96	-270.01
603.41	604.28	0.87	-262.43
604.28	605.18	0.9	-269.33
605.18	606.06	0.88	-261.82
606.06	607.05	0.99	-265.7
607.05	607.89	0.84	-277.26
607.89	608.87	0.98	-269.01
608.87	609.84	0.97	-264.68
609.84	610.77	0.93	-269.4
610.77	611.63	0.86	-270.85
611.63	612.45	0.82	-271.31
612.45	613.4	0.95	-261.02
613.4	614.39	0.99	-256.16
614.39	615.43	1.04	-276.25
615.43	616.36	0.93	-259.48
616.36	617.11	0.75	-263.48
617.11	617.9	0.79	-260.24
617.9	618.64	0.74	-268.17
618.64	619.47	0.83	-250.47
619.47	620.28	0.81	-262.07
620.28	621.12	0.84	-266.94
621.12	622.1	0.98	-266.09
622.1	622.98	0.88	-267.93
622.98	623.97	0.99	-276.64
623.97	624.97	1	-265.66
624.97	625.86	0.89	-262.29
625.86	626.76	0.9	-268.52
626.76	627.62	0.86	-270.47
627.62	628.61	0.99	-271.07
628.61	629.61	1	-260.83
629.61	630.58	0.97	-266.58
630.58	631.57	0.99	-268.67
631.57	632.51	0.94	-267.83
632.51	633.44	0.93	-268.89
633.44	634.45	1.01	-265.24
634.45	635.45	1	-261.84
635.45	636.43	0.98	-266.15
636.43	637.33	0.9	-265.43
637.33	638.26	0.93	-266.29
638.26	639.09	0.83	-266.49
639.09	640.06	0.97	-263.53
640.06	641	0.94	-265.67
641	641.91	0.91	-264.29
641.91	642.82	0.91	-266.98
642.82	643.75	0.93	-261.72
643.75	644.65	0.9	-258.12
644.65	645.59	0.94	-267.89
645.59	646.52	0.93	-261.78
646.52	647.42	0.9	-271.43
647.42	648.4	0.98	-266.72
648.4	649.2	0.8	-274.82
649.2	650.16	0.96	-266.76
650.16	651.01	0.85	-270.23
651.01	651.96	0.95	-268.92
651.96	652.9	0.94	-259.81
652.9	653.91	1.01	-258.55
653.91	654.78	0.87	-268.27
654.78	655.8	1.02	-272.25
655.8	656.71	0.91	-264.75
656.71	657.68	0.97	-271.31
657.68	658.67	0.99	-259.63
658.67	659.59	0.92	-267.43
659.59	660.41	0.82	-276.17
660.41	661.3	0.89	-258.19
661.3	662.17	0.87	-272.25
662.17	663.05	0.88	-271.58
663.05	663.97	0.92	-268.93
663.97	664.79	0.82	-271.79
664.79	665.67	0.88	-273.03
665.67	666.64	0.97	-267.59
666.64	667.64	1	-273.12
667.64	668.53	0.89	-273.94
668.53	669.48	0.95	-267.17
669.48	670.37	0.89	-267.89
670.37	671.27	0.9	-264.34
671.27	672.23	0.96	-270.14
672.23	673.13	0.9	-269.66
673.13	674.09	0.96	-266.79
674.09	675	0.91	-260.12
675	675.98	0.98	-264
675.98	676.96	0.98	-271.6
676.96	677.84	0.88	-259.9
677.84	678.69	0.85	-280.99
678.69	679.665	0.975	-262.43
679.665	680.43	0.765	-265.02
680.43	681.3	0.87	-271.5
681.3	682.1	0.8	-260.06
682.1	682.77	0.67	-272.76
682.77	683.62	0.85	-262.05
683.62	684.41	0.79	-259.35
684.41	685.22	0.81	-268.7
685.22	686.06	0.84	-262.98
686.06	686.85	0.79	-268.67
686.85	687.67	0.82	-266.93
