top depth (m),bottom depth (m),delta D (per mil),delta 18O  (per mil),Deuterium Excess (per mil)
1697,1697.5,-325.7,-41.34,5.1
1697.5,1698,-322.1,-41.16,7.2
1698,1698.5,-314.7,-40.13,6.3
1698.5,1699,-310.8,-39.65,6.4
1699,1699.5,-298.6,-38.06,5.9
1699.5,1700,-315,-40.46,8.7
1700,1700.5,-319.4,-40.59,5.3
1700.5,1701,-318.3,-40.55,6.1
1701.01,1701.5,-316.4,-40.42,7
1701.5,1702.11,-319.3,-40.7,6.3
1702.11,1702.5,-317.9,-40.52,6.2
1702.5,1703.1,-313.4,-40.36,9.4
1703,1703.5,-319.7,-40.86,7.3
1703.5,1704,-310.8,-39.74,7.1
1704,1704.5,-321.5,-41.42,9.9
1704.5,1705,-317.7,-40.76,8.4
1705,1705.5,-325.1,-41.41,6.2
1705.5,1706,-319,-40.5,4.9
1706,1706.5,-314,-40.13,7.1
1706.5,1707,-319.5,-40.86,7.4
1707,1707.5,-312.5,-39.8,5.9
1707.5,1708,-314.9,-40.06,5.6
1708,1708.5,-300.9,-38.52,7.2
1708.5,1709,-316.1,-39.67,1.2
1712.7,1713,-307.2,-38.92,4.1
1713,1713.5,-294.7,-37.72,7.1
1713.5,1713.85,-298,-37.76,4.1
1714,1714.5,-296,-37.42,3.4
1714.5,1715,-294.1,-37.77,8.1
1715,1715.5,-301.7,-38.4,5.5
1715.5,1716,-302,-38.53,6.2
1716,1716.5,-290.5,-37.08,6.1
1716.5,1717,-295,-37.48,4.9
1717,1717.5,-295.7,-37.45,3.8
1717.5,1718,-294.9,-37.47,4.9
1718,1718.5,-286,999999,999999
1718.5,1719,-316.4,999999,999999
1719,1719.5,-293.7,999999,999999
1719.5,1720,-303.5,999999,999999
1720,1720.5,-296,999999,999999
1720.5,1721,-303.7,999999,999999
1721,1721.5,-303,999999,999999
1721.5,1722,-309.2,999999,999999
1722,1722.5,-307.6,999999,999999
1722.5,1723,-311.2,999999,999999
1723,1723.5,-330.1,-42.11,6.8
1723.5,1724,-302.6,-38.5,5.4
1724,1724.5,-302.4,999999,999999
1724.5,1725,-305.6,999999,999999
1725,1725.5,-307.7,-38.91,3.5
1725.5,1726,-308.1,-39.06,4.4
1726,1726.5,-312,999999,999999
1726.5,1727,-310.3,999999,999999
1727,1727.5,-299.2,999999,999999
1727.5,1728,-298.1,999999,999999
1728,1728.5,-300.7,999999,999999
1728.5,1729,-297.5,999999,999999
1729,1729.5,-298.9,-38.05,5.5
1729.5,1730,-304.2,-38.87,6.7
1730,1730.5,-300.5,-37.95,3.1
1730.5,1731,-300.8,-37.95,2.8
1731,1731.5,-297.4,-37.41,1.9
1731.5,1732,-302.3,-38.48,5.6
1732,1732.5,-285.5,-35.98,2.4
1732.5,1733,-286,-36.65,7.2
1733,1733.5,-291.1,-36.97,4.6
1733.5,1734,-293.5,-37.19,4.1
1734,1734.5,-291,-36.78,3.3
1734.5,1735,-292.7,-37.18,4.7
1735,1735.5,-290.3,-36.78,3.9
1735.5,1736,-306.2,-38.84,4.5
1736,1736.5,-292.1,-37.09,4.6
1736.5,1737,-290.7,-36.84,4
1737,1737.5,-291.8,-37.07,4.8
1737.5,1738,-300.7,-38.02,3.4
1738,1738.5,-283.2,-36.19,6.2
1738.5,1739,-289.4,-36.57,3.2
1739,1739.5,-289,-36.66,4.2
1739.5,1740,-291.7,-36.75,2.4
1740,1740.5,-291.8,-36.95,3.8
1740.5,1741,-300.6,-38.22,5.2
1741.01,1741.5,-287.4,-37.1,9.4
1741.5,1742,-290.8,-36.71,2.9
1742,1742.5,-293.1,-37.08,3.6
1742.5,1743,-289.5,-36.68,3.9
1743,1743.5,-297.5,-37.74,4.4
1743.5,1744,-308.8,-38.82,1.8
1744,1744.5,-298.1,-38.11,6.8
1744.5,1745,-299.8,-38.07,4.8
1745,1745.5,-293.5,-37.31,5
1745.5,1746,-299.2,-37.71,2.5
1746.3,1747,-295.9,-37.44,3.6
1747,1747.5,-294.1,-37.12,2.9
1747.5,1748,-292.8,-37.15,4.4
1748,1748.5,-293.5,-37.52,6.7
1748.5,1749,-292.7,-37.35,6.1
1749,1749.5,-294.6,-37.41,4.6
1749.5,1750,-288.3,-36.59,4.4
1750,1750.5,-298,-37.8,4.4
1750.5,1751,-286.5,-36.64,6.6
1751,1751.5,-293.6,-37,2.4
1751.5,1752,-293.2,-37.47,6.6
1752,1752.5,-289.1,-36.91,6.1
1752.5,1753,-294.4,-37.49,5.5
1753,1753.5,-291.9,-37.32,6.7
1753.5,1754,-293.6,-37.39,5.5
1754,1754.5,-303.1,-38.38,3.9
1754.5,1755,-296.4,-37.95,7.2
1755,1755.5,-295.9,-37.26,2.2
1755.5,1756,-292.6,-37.01,3.5
1759,1759.5,-293.2,-37.33,5.4
1759.5,1760,-289.6,-36.91,5.7
1760,1760.5,-290.1,-37.07,6.5
1760.5,1761,-297.4,-37.69,4.1
1762,1762.5,-313.1,-39.57,3.4
1762.5,1763,-300.2,-37.93,3.3
1764,1764.5,-309,-39.53,7.2
1764.5,1765,-302.4,-37.96,1.3
1765,1765.5,-294.8,-37.32,3.8
1765.5,1766,-287.9,-36.64,5.3
1766,1766.5,-298.1,-37.64,3
1766.5,1767,-286.6,-36.45,5.1
1767,1767.5,-291.3,-36.81,3.2
1767.5,1768,-292,-37.08,4.6
1768,1768.5,-300.2,-38.18,5.2
1768.5,1769,-292.7,-37.3,5.7
1769,1769.5,-305.8,-38.6,3
1769.5,1770,-285.9,-36.29,4.5
1770,1770.5,-289.4,-36.83,5.2
1770.5,1771,-290.9,-36.71,2.8
1771,1771.5,-286.4,-36.03,1.8
1771.5,1772,-294.9,-37.26,3.3
1772,1772.5,-285.6,-36.08,3.1
1772.5,1773,-289.3,-36.48,2.5
1773,1773.5,-284.9,-35.85,1.9
1773.5,1774,-287.2,-36.27,2.9
1774,1774.5,-291.5,-36.97,4.3
1774.5,1775,-285.8,-36.2,3.8
1775,1775.5,-284.8,-36.27,5.4
1775.5,1775.99,-280.8,-35.22,1
1775.99,1776.5,-277.8,-35.24,4.2
1776.5,1777,-283.9,-36.09,4.8
1777,1777.5,-274.1,-34.87,4.8
1777.5,1778,-280.6,-35.83,6.1
1778,1778.5,-277.4,-35.5,6.6
1778.5,1779,-282.7,-36,5.3
1779,1779.5,-281.6,-35.86,5.3
1779.5,1780,-277.2,-35.53,7.1
1780,1780.5,-288.8,-36.95,6.8
1780.5,1781,-291.7,-37.11,5.1
1781.02,1781.5,-280.7,-35.7,4.9
1781.5,1782,-279.9,-35.59,4.8
