top depth (m),bottom depth (m),delta D (per mil),delta 18O  (per mil),Deuterium Excess (per mil)
1954.5,1955,-327.9,-41.77,6.2
1955,1955.5,-318.1,-40.56,6.4
1955.5,1956,-312.3,-39.69,5.2
1956,1956.5,-321.3,-40.76,4.8
1956.5,1957,-318.8,-40.6,6
1957,1957.5,-307.1,-38.98,4.7
1957.5,1957.98,-315.7,-40.26,6.3
1957.98,1958.5,-326.3,-41.25,3.7
1958.5,1959,-312.6,-39.75,5.4
1959,1959.5,-314.8,-40.07,5.8
1959.5,1960,-319.2,-40.54,5.1
1960,1960.5,-321.7,-40.95,5.8
1960.5,1961,-312.8,-39.79,5.6
1961,1961.5,-317.3,-40.26,4.8
1961.5,1962,-324.5,-41.27,5.7
1962,1962.5,-317.3,-40.36,5.6
1962.5,1963,-315.6,-39.94,4
1963,1963.5,-318.4,-40.32,4.2
1963.5,1964,-311.5,-39.65,5.7
1964,1964.5,-310.6,-39.32,4
1964.5,1964.99,-303.2,-38.4,4
1965,1965.5,-319.4,-40.25,2.6
1965.5,1966,-306.3,-39.04,6
1966,1966.5,-324,-41.14,5.1
1966.5,1967,-327.9,-41.73,5.9
1967,1967.5,-316.8,-40.04,3.5
1967.5,1968,-317.9,-40.18,3.6
1968,1968.5,-318,-40.45,5.5
1968.5,1969,-305.9,-39,6.1
1969,1969.5,-309.7,-39.42,5.6
1969.5,1970,-315.2,-40.03,5.1
1970,1970.5,-318,-40.49,5.9
1970.5,1971,-320.7,-40.81,5.8
1971,1971.5,-312.1,-40.04,8.3
1971.5,1972,-313.8,-40.08,6.9
1972,1972.5,-318.1,-40.38,4.9
1972.5,1973,-317.8,-40.57,6.7
1973,1973.5,-311.5,-39.7,6.2
1973.5,1974,-319.4,-40.57,5.1
1974,1974.5,-323.6,-41.16,5.6
1974.5,1975,-311.4,-39.66,6
1975,1975.5,-316.7,-40.25,5.4
1975.5,1976,-314.8,-40.27,7.4
1976,1976.5,-312.8,999999,999999
1976.5,1977,-303.9,999999,999999
1977,1977.5,-302.5,-38.2,3.1
1977.5,1978,-302,-38.34,4.7
1978,1978.5,-312.4,-39.54,3.9
1978.5,1979,-307.4,-39.24,6.5
1979,1979.5,999999,-40.06,999999
1979.5,1980,-318.5,-40.44,5
1980,1980.5,-316.7,-40.33,6
1980.5,1980.99,-307.4,-39.28,6.8
1981.01,1981.5,-311.8,-39.68,5.6
1981.5,1982,-319.9,-40.63,5.1
1982,1982.5,-311,-39.6,5.8
1982.5,1983,-313.3,-40.08,7.3
1983,1983.5,-314.8,-40.15,6.4
1983.5,1984,-318.1,-40.4,5.1
1984,1984.5,-295.9,-37.64,5.3
1984.5,1985,-302.4,-38.18,3.1
1984.97,1985.5,-289.7,-36.78,4.5
1985.5,1986,-308,-38.79,2.3
1986,1986.5,-305.3,-38.72,4.5
1986.5,1987,-308.4,-39.42,6.9
1987,1987.5,-311.9,-40.12,9
1987.5,1988,-316.2,-40.49,7.7
1988,1988.5,-322.9,-41.41,8.3
1988.5,1989,-329.2,-41.84,5.5
1989,1989.5,-315.5,-40.15,5.7
1989.5,1990,-319.9,-40.6,4.8
1990,1990.5,-332.9,-42.41,6.4
1990.5,1991,-320.8,-40.79,5.5
1991,1991.5,-319.2,-40.51,4.9
1991.5,1992,-327.7,-41.95,7.9
1992,1992.5,-330.2,-42.41,9.1
1992.5,1993.01,-321.1,-40.52,3.1
1993,1993.5,-324.6,-41.05,3.8
1993.5,1994,-324.8,-41.39,6.3
1994,1994.5,-328.5,-41.75,5.5
1994.5,1995,-327.5,-41.46,4.2
1995,1995.5,-325.3,-41.42,6
1995.5,1996,-328.5,-42.23,9.3
1996.5,1997,-324.1,-41.29,6.2
1997,1997.5,-333.7,-42.6,7.2
1997.5,1998,-326.4,-41.81,8.1
1998,1998.5,-318.6,-40.96,9.1
1998.5,1999,-326.2,-41.6,6.6
1999,1999.5,-329.5,-42.15,7.7
1999.5,2000,-322.1,-40.88,5
2000,2000.5,-324.6,-41.19,4.9
2000.5,2001,-325,-41.26,5.1
2001,2001.5,-312.8,-40.02,7.3
2001.5,2002,999999,-41.16,999999
2002,2002.5,-312.8,-39.61,4.1
2002.5,2003,-324.8,-41.33,5.9
2003,2003.5,-316.5,-39.92,2.9
2003.5,2004,-312,-39.6,4.9
2004,2004.5,-303.9,-38.55,4.5
2004.5,2005,-313.5,-40.02,6.7
2005,2005.5,-318.1,-40.43,5.4
2005.5,2006,-327.9,-41.81,6.5
2006,2006.5,-324.6,-41.14,4.5
2006.5,2007,-322.7,-40.72,3
2007,2007.5,-328.2,-41.73,5.6
2007.5,2008,-329.4,-41.78,4.9
2008,2008.5,-322.3,-41.11,6.5
2008.5,2009,-316.8,-40.39,6.4
2009,2009.5,-331,-42.44,8.5
2009.5,2010,-332.8,-42.32,5.8
2010,2010.5,-332.4,-42.14,4.7
2010.5,2011,-306.3,-39.15,6.9
2011,2011.5,-331.4,-42.04,4.9
2011.5,2012,-312,-39.44,3.5
2012,2012.5,-312.5,-39.82,6.1
2012.5,2013,-312.6,-39.67,4.7
2013,2013.5,-314,-39.85,4.8
2013.5,2014,-314.7,-40.01,5.3
2014,2014.5,-313.7,-39.91,5.6
2014.5,2015,-326.1,-41.63,6.9
2015,2015.5,-324,-41.1,4.8
2015.5,2016,-327.6,-41.43,3.9
2016,2016.5,-320.3,-40.34,2.4
2016.5,2017,-319.1,-40.43,4.4
2017,2017.5,-328.4,-41.57,4.1
2017.5,2018,-318.9,-40.38,4.1
2018,2018.5,-324,-40.84,2.8
2018.5,2019,-319.4,-40.64,5.7
2019,2019.5,-323.8,-41.23,6
2019.5,2020,-326,-41.38,5
2020,2020.5,-329.6,-42.03,6.6
2020.5,2021,-330.1,-41.89,5
2021.01,2021.5,-333.5,-42.2,4.2
2021.5,2022,-333.1,-42.51,7
2023,2023.5,-320.5,-41.16,8.7
2023.5,2024,-321.5,-40.78,4.8
2024,2024.5,-321.6,-40.82,5
2024.5,2025,-320.8,-40.82,5.7
2025,2025.5,-321.1,-40.93,6.4
2025.5,2026,-316.4,-40.24,5.5
2026,2026.5,-322.6,-41.12,6.4
2026.5,2027,-327.9,-41.8,6.5
2027,2027.5,-320.9,-40.66,4.3
2027.5,2028,-321.2,-40.97,6.6
2028,2028.5,-330.3,-42.4,8.9
2028.5,2029,-317.3,-40.45,6.3
2029,2029.5,-302.8,-38.52,5.4
2029.5,2030,-306.5,-38.84,4.3
2030,2030.5,-318.2,-40.6,6.5
2030.5,2031,-316,-40.55,8.3
2031,2031.5,-318,-40.39,5.1
2031.5,2032,-314.2,-40.08,6.5
2032,2032.5,-313.5,-39.79,4.8
2032.5,2033,-320.7,-40.91,6.5
2033,2033.5,-320.3,-41.24,9.6
2033.5,2034,-319.7,-40.73,6.1
2034,2034.5,-317.8,-40.76,8.4
2034.5,2035,-322.2,-41.23,7.7
2035,2035.5,-311.9,-39.69,5.6
2035.5,2036,-315.8,-40.17,5.6
2036,2036.5,-317.6,-40.76,8.5
2036.5,2037,-315.6,-40.46,8
2037,2037.5,-325.7,-41.65,7.5
2037.5,2038,-323.6,-41.26,6.5
2038,2038.5,-311.4,-39.75,6.6
2038.5,2039,-320.7,-40.95,6.9
2039,2039.5,-314.8,-39.94,4.7
2039.5,2040,-318.2,-40.78,8
2040,2040.5,-309.7,-39.73,8.1
2040.5,2041,-307.4,-39.43,8
2041,2041.5,-314.2,-40.12,6.7
2041.5,2042,-309.1,-39.5,7
2042,2042.5,-321.7,-41.19,7.9
2042.5,2043,-326,-41.53,6.2
2043,2043.5,-310.2,-39.51,5.8
2043.5,2043.97,-318.5,-40.52,5.6
2043.97,2044.5,-313.6,-39.74,4.3
2044.5,2045,-314.2,-39.91,5
2045,2045.5,-305.7,-39.06,6.8
2045.5,2046,-322.1,-41.23,7.7
2046.5,2047,-322.9,-41.23,6.9
2046.5,2047,-322.4,-41.2,7.2
2047,2047.5,-314.3,-40.13,6.7
2047.5,2048,-319,-40.75,7.1
2048,2048.5,-329.4,-42.25,8.7
2048.5,2049,-319.2,-40.61,5.7
2049,2049.5,-315.9,-40.24,6
2049.5,2050,-309.8,-39.54,6.5
2051,2051.5,-305.8,999999,999999
2051.5,2052,-305.2,999999,999999
2052,2052.5,-293.8,999999,999999
2052.5,2053,-299.7,999999,999999
2053,2053.5,-302.7,999999,999999
2053.5,2054,-292.6,999999,999999
2054,2054.5,-291,999999,999999
2054.5,2055,-295.4,999999,999999
2055,2055.5,-293.2,999999,999999
2055.5,2056,-292,999999,999999
2056,2056.5,-296.2,999999,999999
2056.5,2057,-312.5,999999,999999
2057,2057.5,-321.6,999999,999999
2057.5,2058,-315.2,999999,999999
2058,2058.5,-318.8,-40.69,6.8
2058.5,2059,-309.1,-39.45,6.5
2059,2059.5,-323.9,-41.48,8
2059.5,2060,-323.1,-41.45,8.5
2060,2060.5,-328.5,-42.05,7.9
2060.5,2061,-327.6,-41.91,7.7
2061,2061.5,-314.3,-40.05,6.2
2061.5,2062,-308.9,-39.68,8.6
2062,2062.5,-325.4,-41.71,8.3
2062.5,2063,-330.1,-42.17,7.3
2063,2063.5,-312.4,-40.06,8.1
2063.5,2064,-323.2,-41.56,9.3
2064,2064.5,-327.9,-42.06,8.6
2064.5,2065,-315.4,-40.48,8.4
2065,2065.5,-322.1,-41.44,9.4
2065.5,2066,-319.6,-40.72,6.2
2066,2066.5,-326,-41.65,7.2
2066.5,2067,-323.8,-41.38,7.2
2067,2067.5,-315,-40.51,9
2067.5,2068,-318.9,-40.84,7.8
2068,2068.5,-319.6,-41.09,9.1
2068.5,2069,-311.7,-39.52,4.5
2069,2069.5,-303.1,-38.63,5.9
2069.5,2070,-309.3,-39.2,4.3
2070,2070.5,-296.9,-37.59,3.9
2070.5,2071,-300.9,-37.86,2
2071,2071.5,-301,-38.23,4.9
2071.5,2072,-301.1,-38.08,3.5
2072,2072.5,-301.6,-38.11,3.3
2072.5,2073,-310.5,-39.31,4
2074,2074.5,-296,999999,999999
2074.5,2075,-298.9,999999,999999
2075,2075.5,-289.5,999999,999999
2075.5,2076,-300.9,999999,999999
2076,2076.5,-307.4,-38.75,2.6
2076.5,2077,-314.6,-40.19,7
2077,2077.5,-314.2,-40.32,8.4
2077.5,2078,-313,-39.79,5.3
2078,2078.5,-321,-40.79,5.3
2078.5,2079,-325.7,-41.7,7.9
2079,2079.5,-327.2,-41.74,6.7
2079.5,2080,-321.3,-41.28,9
2080,2080.5,-328.1,-41.99,7.8
2080.5,2081,-316.1,-40.54,8.2
2081,2081.5,-310.2,-39.57,6.3
2081.5,2082,-325.8,-41.77,8.3
2082,2082.5,-330.7,-42.28,7.5
2082.5,2083,-321.2,-41.44,10.3
2083,2083.5,-318.8,-40.79,7.5
2083.5,2084,-326.5,-41.93,9
2084,2084.5,-328.7,-42.13,8.3
2084.5,2085,-318.9,-40.65,6.2
2085,2085.5,-338.3,-43.42,9.1
2085.5,2086,-331.5,-42.2,6.1
2086,2086.5,-332.6,999999,999999
2086.5,2087,-332.5,999999,999999
2087.5,2088,-324.9,-41.83,9.7
2088,2088.5,-327.3,-42.07,9.3
2088.5,2089,-325.9,-42.1,10.9
2089,2089.5,-328.7,-42.27,9.5
2089.5,2090,-334.4,-43.05,10
2090,2090.5,-328.7,-41.67,4.7
2090.5,2091,-330.9,-42.45,8.7
2091,2091.5,-323.2,-41.52,9
2091.5,2092,-330.5,-42.66,10.8
2092,2092.5,-329.8,-42.3,8.6
2092.5,2093,-329.5,-42.38,9.5
2093,2093.5,-335,-43.14,10.1
2093.5,2094,-332.5,-42.51,7.6
2094,2094.5,-319.7,-40.78,6.6
2094.5,2095,-328.8,-42.07,7.8
2095,2095.5,-323.8,-41.41,7.4
2095.5,2096,-321.1,-40.81,5.4
2096,2096.5,-321.8,-41.57,10.7
2096.5,2097,-335.6,-42.99,8.3
2097,2097.5,-330.2,-42.39,8.9
2097.5,2098,-321.9,-41.4,9.3
2098,2098.5,-328.8,-42.19,8.7
2098.5,2099,-315.9,-40.46,7.8
2099,2099.5,-321.6,-41.34,9.2
2099.5,2100,-319.6,-40.73,6.2
2100,2100.5,-323.1,-41.49,8.8
2100.5,2101,-327.5,-42.08,9.2
2101.01,2101.5,-312.8,-40.23,9
2101.5,2102,-323.1,-41.36,7.9
2102,2102.5,-336.3,-43.18,9.2
2102.5,2103,-333.8,-42.97,10
2103,2103.5,-325.3,-41.95,10.3
2103.5,2104,-328.3,-42.01,7.8
2104,2104.5,-335.9,-43.22,9.9
2104.5,2105,-324.4,-41.42,7
2105,2105.5,-329.2,-42.14,7.9
2105.5,2106,-326.6,-42.07,10
2106,2106.5,-320.8,-40.73,5
2106.5,2107,-318.9,-40.87,8.1
2107,2107.5,-329.7,-41.92,5.7
2107.5,2108,-328.6,-42.26,9.5
2108,2108.5,-331.9,-42.34,6.8
2108.5,2109,-326.2,-41.4,5
2109,2109.5,-323.1,999999,999999
2109.5,2110,-328,999999,999999
2110,2110.5,-322.9,999999,999999
2110.5,2111,-331.8,999999,999999
2111,2111.5,-323,-41.33,7.7
2111.5,2112,-329.8,-42.28,8.4
2112,2112.5,-334.5,-42.75,7.4
2112.5,2113,-316.9,-40.86,10
2113,2113.5,-333.4,-42.35,5.4
2113.5,2114,-317.4,-40.5,6.6
2114,2114.5,-327,-41.7,6.6
2114.5,2115,-326.4,-41.62,6.6
2115,2115.5,-322.6,-41.34,8.1
2115.5,2116,-329,-42.03,7.2
2116,2116.5,-316.8,-40.33,5.8
2116.5,2117,-311.1,-39.48,4.7
2117,2117.5,-317.5,999999,999999
2117.5,2118,-314.4,999999,999999
2118,2118.5,-306.4,-38.7,3.1
2118.5,2119,-310.4,-39.4,4.8
2119,2119.5,-308,-39.07,4.6
2119.5,2120,-310.6,-39.53,5.6
2120,2120.5,-305.8,999999,999999
2120.5,2121,-304.3,999999,999999
2122,2122.5,-306.8,-38.83,3.8
2122.5,2123,-303.5,-38.33,3.1
2123,2123.5,-305.5,999999,999999
2123.5,2124,-302.3,999999,999999
2124,2124.5,-294,-37.12,3
2124.5,2125,-293.3,-37.09,3.4
2125,2125.5,-298.6,999999,999999
2125.5,2126,-294.5,999999,999999
2126,2126.5,-305.2,999999,999999
2126.5,2127,-293.3,999999,999999
2127,2127.5,-304.4,999999,999999
2127.5,2128,-317.5,999999,999999
2128.01,2128.5,-322.3,-40.92,5.1
2128.5,2129,-323.3,-41.36,7.5
2129,2129.5,-317.4,-40.5,6.6
2129.5,2130,-325.9,-41.52,6.3
2130,2130.5,-318.1,-40.77,8
2130.5,2131,-335.6,-43.02,8.6
2131,2131.5,-319.9,-40.78,6.3
2131.5,2132,-335.2,-42.66,6
2132,2132.5,-333.7,-42.69,7.8
2132.5,2133,-320.7,-41.1,8.1
2133,2133.5,-329.9,-42.18,7.5
2133.5,2134,-322.2,-41.03,6
2134,2134.5,-329.4,-41.93,6
2134.5,2135,-334.6,-42.82,7.9
2135,2135.5,-320.3,-41.01,7.8
2135.5,2136,-331.3,-42.26,6.8
2136,2136.5,-323.9,-41.28,6.4
2136.5,2137,-335.4,-42.63,5.7
2137,2137.5,-338.6,-43.44,9
2137.5,2138,-332.2,-42.45,7.4
2138,2138.5,-325.1,999999,999999
2138.5,2139,-313,999999,999999
2139,2139.5,-311.8,999999,999999
2139.5,2140,-308.9,999999,999999
2140,2140.5,-305.9,999999,999999
2140.5,2141,-308.6,999999,999999
2141,2141.5,-306.7,999999,999999
2141.5,2142,-307.6,999999,999999
2142,2142.5,-300,999999,999999
2142.5,2143,-301.5,999999,999999
2143,2143.5,-306.9,999999,999999
2143.5,2144,-307,999999,999999
2144,2144.5,-306.7,999999,999999
2144.5,2145,-302.4,999999,999999
2145,2145.5,-292.7,999999,999999
2145.5,2146,-299,999999,999999
2146,2146.5,-297.7,999999,999999
2146.5,2147,-312.3,999999,999999
2147,2147.5,-324.9,999999,999999
2147.5,2148,-312.8,999999,999999
2148,2148.5,-316.3,-40.54,8
2148.5,2149,-319.7,-40.72,6
2149,2149.5,-326.5,-41.54,5.8
2149.5,2150,-317.5,-40.41,5.8
2150,2150.5,-321.5,-40.92,5.9
2150.5,2151,-323.8,-41.15,5.4
2151,2151.5,-332.1,-42,3.9
2151.5,2152,-317.3,-40.5,6.7
2152,2152.5,-321.5,-40.79,4.9
2152.5,2153.01,-310.1,-39.57,6.5
2153,2153.5,-324.4,-41.32,6.1
2153.5,2154,-317.4,-40.55,7
2154,2154.5,-327.6,-41.87,7.3
2154.5,2155,-330,-41.99,5.9
2155,2155.5,-315.7,-40.47,8.1
2155.5,2156,-332.7,-42.24,5.3
2156,2156.5,-324.4,-41.46,7.3
2156.5,2157,-329.3,-41.89,5.8
2157,2157.5,-322.7,-41.29,7.6
2157.5,2158,-322.6,-41.35,8.2
2158,2158.5,-321.5,-40.97,6.3
2158.5,2159,-322.9,-41.16,6.4
2159,2159.5,-323.5,-41.21,6.2
2159.5,2160,-322.8,-41.46,8.9
2160,2160.5,-321.3,999999,999999
2160.5,2161,-310.8,999999,999999
2161,2161.5,-306.1,999999,999999
2161.5,2162,-304.4,999999,999999
2162,2162.5,-312.1,999999,999999
2162.5,2163,-308.3,999999,999999
2163,2163.5,-311.9,999999,999999
2163.5,2164,-304.8,999999,999999
2164,2164.5,-311.4,999999,999999
2164.5,2165,-310.9,999999,999999
2165,2165.5,-312.1,999999,999999
2165.5,2166,-314.5,999999,999999
2166,2166.5,-317.1,999999,999999
2166.5,2167,-311.9,999999,999999
2167,2167.5,-306.9,999999,999999
2167.5,2168,-305.2,999999,999999
2168,2168.5,-300.7,999999,999999
2168.5,2169,-307.8,999999,999999
2169,2169.5,-307.8,999999,999999
2169.5,2170,-301.1,999999,999999
2170,2170.5,-298.1,999999,999999
2170.5,2171,-302.3,999999,999999
2171,2171.5,-298.2,999999,999999
2171.5,2172,-300.1,999999,999999
2172,2172.5,-302.5,999999,999999
2172.5,2173,-305.6,999999,999999
2173,2173.5,-298,999999,999999
2173.5,2174,-301,999999,999999
2174,2174.5,-303.2,999999,999999
2174.5,2175,-293.3,999999,999999
2175,2175.5,-301.5,999999,999999
2175.5,2176,-296.5,999999,999999
2176,2176.5,-295.1,999999,999999
2176.5,2177,-303.3,999999,999999
2177,2177.5,-303,999999,999999
2177.5,2178,-309.4,999999,999999
2178,2178.5,-321.5,999999,999999
2178.5,2179,-320.5,999999,999999
2179,2179.5,-321.6,999999,999999
2179.5,2180,-334.3,999999,999999
2180,2180.5,-310.3,999999,999999
2180.5,2181,-322.9,999999,999999
2181,2181.5,-326.1,-41.77,8.1
2181.5,2182,-326.5,-41.51,5.5
2182,2182.5,-328.7,-41.94,6.8
2182.5,2183,-325.4,-41.33,5.2
2183,2183.5,-325.1,-41.46,6.6
2183.5,2184,-316.1,-40.47,7.7
2184,2184.5,-330.4,-42.15,6.8
2184.5,2185,-338.3,-43.09,6.4
2185,2185.5,-338.6,-42.78,3.6
2185.5,2186,-317.5,-40.58,7.1
2186,2186.5,-326.3,-41.61,6.6
2186.5,2187,-322.8,-41.42,8.6
2187,2187.5,-324.5,-41.3,5.9
2187.5,2188,-324.5,-41.35,6.3
2188,2188.5,-325.4,-41.46,6.3
2188.5,2189,-325.7,-41.49,6.2
2189,2189.5,-320.5,-40.98,7.4
2189.5,2190,-326.5,-41.6,6.3
2190,2190.5,-323.6,-41.19,5.9
2190.5,2191,-312.7,-39.75,5.3
2191,2191.5,-322.3,-41.08,6.3
2191.5,2192,-322.7,-41.21,7
2192,2192.5,-323.8,-41.44,7.7
2192.5,2193,-322.5,-41.21,7.2
2193,2193.5,-312.7,-39.94,6.8
2193.5,2194,-310.9,-39.6,5.9
2194,2194.5,-303.4,999999,999999
2194.5,2195,-305.8,999999,999999
2195,2195.5,-306,-38.91,5.2
2195.5,2196,-316.7,-39.93,2.8
2196,2196.5,-309.4,999999,999999
2196.5,2197,-310.3,999999,999999
2197,2197.5,-295.9,999999,999999
2197.5,2198,-310.9,999999,999999
2198,2198.5,-312.9,-39.59,3.9
2198.5,2199,-312.2,-40,7.8
2199,2199.5,-315.7,-40.34,7.1
2199.5,2200,-320.9,-40.95,6.8
2200,2200.5,-310.1,999999,999999
2200.5,2201,-318.4,999999,999999
2201,2201.5,-323,-40.81,3.5
2201.5,2202,-310.3,-39.39,4.8
2202,2202.5,-307.2,999999,999999
2202.5,2203,-303.7,999999,999999
2203,2203.5,-316.7,-40.03,3.6
2203.5,2204,-301.5,-37.93,1.9
2204,2204.5,-299.1,-37.83,3.5
2204.5,2205,-299.9,-37.71,1.8
2205,2205.5,-304,999999,999999
2205.5,2206,-301.8,999999,999999
2206,2206.5,-300.3,999999,999999
2206.5,2207,-311.9,999999,999999
2207,2207.5,-295.1,999999,999999
2207.5,2208,-302.5,999999,999999
2209,2209.5,-310.9,999999,999999
2209.5,2210,-298.1,999999,999999
2210,2210.5,-304.5,999999,999999
2210.5,2211,-299.4,999999,999999
2211,2211.5,-298.8,999999,999999
2211.5,2212,-293.7,999999,999999
2213,2213.5,-294,999999,999999
2213.5,2214,-299,999999,999999
2214,2214.5,-302.5,999999,999999
2214.5,2215,-296.3,999999,999999
2215,2215.5,-300.9,999999,999999
2215.5,2216,-297.8,999999,999999
2216,2216.5,-295.4,999999,999999
2216.5,2217,-295.6,999999,999999
2217,2217.5,-297.6,999999,999999
2217.5,2218,-297.4,999999,999999
2218,2218.5,-296.4,999999,999999
2218.5,2219,-293.4,999999,999999
2219,2219.5,-291.9,999999,999999
2219.5,2220,-297.2,999999,999999
2220,2220.5,-287.5,999999,999999
2220.5,2221,-289.5,999999,999999
2221,2221.5,-295.3,999999,999999
2221.5,2222,-297.7,999999,999999
2222,2222.5,-291.7,999999,999999
2222.5,2223,-290.9,999999,999999
2223,2223.5,-299.9,999999,999999
2223.5,2224,-295.9,999999,999999
2224,2224.5,-299.8,999999,999999
2224.5,2225,-294.4,999999,999999
2225,2225.5,-288.6,999999,999999
2225.5,2226,-298.7,999999,999999
2226,2226.5,-294.3,999999,999999
2226.5,2227,-295.3,999999,999999
2227,2227.5,-287.7,999999,999999
2227.5,2228,-296.3,999999,999999
2228,2228.5,-290.2,999999,999999
2228.5,2229,-288.2,999999,999999
2229,2229.5,-292.5,999999,999999
2229.5,2230,-291.2,999999,999999
2230,2230.5,-292.7,999999,999999
2230.5,2231,-286.8,999999,999999
2231,2231.5,-293.5,999999,999999
2231.5,2232,-298.3,999999,999999
2232,2232.5,-318.1,999999,999999
2232.5,2233,-320.7,999999,999999
2234,2234.5,-322.7,-41.3,7.7
2234.5,2235,-323.5,-41.31,6.9
2235,2235.5,-316.8,999999,999999
2235.5,2236,-317.9,999999,999999
2236,2236.5,-321.7,999999,999999
2236.5,2237,-318.1,999999,999999
2237,2237.5,-324,999999,999999
2237.5,2238,-311.4,999999,999999
2238,2238.5,-321.4,999999,999999
2238.5,2239,-315.4,999999,999999
2239,2239.5,-326.1,999999,999999
2239.5,2240,-313.8,999999,999999
2240,2240.5,-323.1,999999,999999
2240.5,2241,-317.3,999999,999999
2241,2241.5,-320.2,999999,999999
2241.5,2242,-322.4,999999,999999
2242,2242.5,-320.5,999999,999999
2242.5,2243,-322.8,999999,999999
2243,2243.5,-321.6,999999,999999
2243.5,2244,-314,999999,999999
2244,2244.5,-317.4,999999,999999
2244.5,2245,-312.2,999999,999999
2245,2245.5,-318.1,999999,999999
2245.5,2246,-315.5,999999,999999
2246,2246.5,-332.4,999999,999999
2246.5,2247,-322.8,999999,999999
2247,2247.5,-326.4,999999,999999
2247.5,2248,-326.7,999999,999999
2248,2248.5,-320.2,999999,999999
2248.5,2249,-322,999999,999999
2249,2249.5,-319.4,999999,999999
2249.5,2250,-328.3,999999,999999
2251.01,2251.5,-311.2,-39.73,6.6
2251.5,2252,-320.4,-40.62,4.6
2252.3,2252.5,-309.2,-39.19,4.3
2252.5,2253,-322,-40.95,5.6
2253,2253.5,-308.3,-39.07,4.2
2253.5,2253.7,-300.6,-38.37,6.3
2254,2254.5,-301.6,-38.05,2.8
2254.5,2255,-300.1,-37.75,1.9
2255,2255.5,-302.3,-38.29,4.1
2255.5,2256,-312.1,-39.49,3.8
2256,2256.5,-319.5,-40.45,4.1
2256.5,2257,-312.6,-39.63,4.5
2257,2257.5,-313.5,-39.81,5
2257.5,2258,-314.4,-40.25,7.6
2258,2258.5,-311.4,-39.65,5.8
2258.5,2259,-311.7,-39.58,4.9
2259,2259.5,-320.2,-40.87,6.8
2259.5,2260,-318.2,-40.72,7.5
2260.11,2260.5,-317.7,-40.51,6.4
2260.5,2261,-316,-40.29,6.3
2261,2261.5,-320.1,-40.96,7.6
2261.5,2262,-320.1,-40.82,6.5
2262.04,2262.5,-313.2,-40.01,6.8
2262.5,2263,-323.5,-41.21,6.2
2263,2263.5,-331.9,-42.03,4.3
2263.5,2264,-328.1,-41.62,4.9
2264,2264.5,-314.9,-40.09,5.9
2264.5,2265,-313.5,-39.87,5.5
2265,2265.5,-321.5,999999,999999
2265.5,2266,-317.4,999999,999999
2266,2266.5,-312.6,-39.58,4
2266.5,2266.97,-312.4,-39.62,4.5
2266.97,2267.5,-302.1,-38.31,4.4
2267.5,2268,-306.4,-38.8,4
2268,2268.5,-302.1,-38.48,5.7
2268.5,2269,-299.4,-37.84,3.4
2269,2269.5,-301.4,999999,999999
2269.5,2270,-304.4,999999,999999
2270,2270.5,-306.2,-38.83,4.4
2270.5,2271,-307.9,-38.87,3
2271,2271.5,-307.2,-38.73,2.7
2271.5,2272,-303.6,-38.53,4.7
2272,2272.5,-310.4,-39.22,3.4
2272.5,2273,-300.8,-38.28,5.5
2273,2273.5,-298.8,-37.88,4.2
2273.5,2274,-300.8,-37.9,2.3
2274,2274.5,-296.2,-37.16,1.1
2274.5,2275,-297.3,-37.6,3.5
2275,2275.5,-300.5,-37.84,2.2
2275.5,2276,-296.1,-37.14,1.1
2276,2276.5,-306.2,-38.84,4.5
2276.5,2277,-320.3,-40.36,2.5
2277,2277.5,-320.5,-40.18,1
2277.5,2278,-320.9,-40.82,5.7
2278,2278.5,-318.1,-40.61,6.8
2278.5,2279,-317.2,-40.75,8.8
2279,2279.5,-318,-40.71,7.7
2279.5,2280,-315.6,-40.58,9.1
2280,2280.5,-326.2,-41.67,7.1
2280.5,2281,-319.1,-40.78,7.2
2281.02,2281.5,-319.2,-40.78,7
2281.5,2282,-322.3,-41.16,7
2282,2282.5,-321.5,999999,999999
2282.5,2283,-325.7,999999,999999
2283,2283.5,-323.7,-41.23,6.1
2283.5,2284,-323,-41.2,6.5
2284,2284.5,-326.5,-41.68,6.9
2284.5,2285,-318.8,-40.52,5.3
2285,2285.5,-311.2,999999,999999
2285.5,2286,-310.1,999999,999999
2286,2286.5,-311.4,-39.31,3.1
2286.5,2287,-303.9,-38.42,3.4
2287,2287.5,-312.7,-39.59,4
2287.5,2288,-311.1,-39.37,3.8
2288,2288.5,-309,-39.27,5.1
2288.5,2289,-304.3,-38.58,4.3
2289,2289.5,-313.6,-39.78,4.6
2289.5,2290,-305.8,-38.97,6
2290,2290.5,-310.1,-39.31,4.4
2290.5,2291,-308.3,-38.99,3.7
2291,2291.5,-305.6,999999,999999
2291.5,2292,-301.1,999999,999999
2292,2292.5,-306.2,-38.75,3.8
2292.5,2293,-303.4,-38.26,2.7
2293,2293.5,-304.1,-38.53,4.1
2293.5,2294,-296.1,-37.46,3.6
2294,2294.5,-298.1,999999,999999
2294.5,2295,-295.2,999999,999999
2295,2295.5,-300.4,-38.13,4.6
2295.5,2296,-300.3,-37.95,3.3
2296.5,2297,-303.4,-38.41,3.9
2297,2297.5,-299.3,-38.15,5.8
2297.5,2298,-296.6,-37.65,4.6
2298,2298.5,-299.7,-38.02,4.5
2298.5,2299,-301.4,-38.09,3.3
